"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",218000,17999,11777,9540,6408,14209,14780,34102,4517,7559,6330,14773,33409,4730,8153,19246,10468
"2","X2007",225638,18686,12110,9667,6552,14586,15342,35440,4519,7918,6500,15365,34097,4923,8493,20261,11179
"3","X2008",241288,20459,12853,10078,6894,15509,16593,38040,4786,8516,6914,16461,36471,5330,8987,21452,11945
"4","X2009",246429,20267,13184,10647,7086,16109,17336,38428,4862,8817,7305,16678,37078,5452,9443,22171,11566
"5","X2010",241920,20100,12741,10279,6646,15735,17057,38989,4765,8576,7133,16242,36739,5323,8688,21715,11192
"6","X2011",225701,18747,11762,9524,6397,14691,16108,36979,4442,8232,6610,14905,34077,4905,8061,19896,10365
"7","X2012",223815,18368,11411,9485,6347,14450,15977,36769,4561,8191,6697,14887,33962,4848,7878,19735,10249
"8","X2013",213749,17525,11116,8828,5926,13567,15581,35476,4138,7943,6385,14248,32481,4339,7411,18938,9847
"9","X2014",217699,18333,11170,9029,5923,13818,15566,37130,4344,7803,6652,14583,32261,4428,7584,18984,10091
"10","X2015",217391,17853,11015,9300,6063,13466,16248,37525,4311,7771,6711,14990,31431,4378,7344,19053,9932
"11","X2016",226296,18775,11446,9135,6255,13988,17417,39367,4388,8056,7078,15822,32329,4347,7550,19982,10361
"12","X2017",236143,19078,11865,9623,6550,14344,18187,40250,4756,8539,7770,16384,33995,4470,8424,20980,10928
"13","X2018",228714,18877,11211,9113,6158,14006,17859,39811,4532,8343,7561,15788,32121,4447,8401,20144,10342
